Year,RVI_mean,RVI_std,NDVI_mean,NDVI_std
1940,0.8182,0.017022338,0.6641,0.042861288
1941,0.8182,0.017022338,0.6641,0.042861288
1942,0.8182,0.017022338,0.6641,0.042861288
1943,0.8182,0.017022338,0.6641,0.042861288
1944,0.8182,0.017022338,0.6641,0.042861288
1945,0.8182,0.017022338,0.6641,0.042861288
1946,0.8182,0.017022338,0.6641,0.042861288
1947,0.8182,0.017022338,0.6641,0.042861288
1948,0.8182,0.017022338,0.6641,0.042861288
1949,0.8182,0.017022338,0.6641,0.042861288
1950,0.8182,0.017022338,0.6641,0.042861288
1951,0.8182,0.017022338,0.6641,0.042861288
1952,0.8182,0.017022338,0.6641,0.042861288
1953,0.8182,0.017022338,0.6641,0.042861288
1954,0.8182,0.017022338,0.6641,0.042861288
1955,0.8182,0.017022338,0.6641,0.042861288
1956,0.8182,0.017022338,0.6641,0.042861288
1957,0.8182,0.017022338,0.6641,0.042861288
1958,0.8182,0.017022338,0.6641,0.042861288
1959,0.8182,0.017022338,0.6641,0.042861288
1960,0.8182,0.017022338,0.6641,0.042861288
1961,0.8182,0.017022338,0.6641,0.042861288
1962,0.8182,0.017022338,0.6641,0.042861288
1963,0.8182,0.017022338,0.6641,0.042861288
1964,0.8182,0.017022338,0.6641,0.042861288
1965,0.8182,0.017022338,0.6641,0.042861288
1966,0.8182,0.017022338,0.6641,0.042861288
1967,0.8182,0.017022338,0.6641,0.042861288
1968,0.8182,0.017022338,0.6641,0.042861288
1969,0.8182,0.017022338,0.6641,0.042861288
1970,0.8182,0.017022338,0.6641,0.042861288
1971,0.8182,0.017022338,0.6641,0.042861288
1972,0.8182,0.017022338,0.6641,0.042861288
1973,0.8182,0.017022338,0.6641,0.042861288
1974,0.8182,0.017022338,0.6641,0.042861288
1975,0.8182,0.017022338,0.6641,0.042861288
1976,0.8182,0.017022338,0.6641,0.042861288
1977,0.8182,0.017022338,0.6641,0.042861288
1978,0.8182,0.017022338,0.6641,0.042861288
1979,0.8182,0.017022338,0.6641,0.042861288
1980,0.8182,0.017022338,0.6641,0.042861288
1981,0.8182,0.017022338,0.6641,0.042861288
1982,0.8182,0.017022338,0.6641,0.042861288
1983,0.8182,0.017022338,0.6641,0.042861288
1984,0.8182,0.017022338,0.6641,0.042861288
1985,0.8182,0.017022338,0.6641,0.042861288
1986,0.8182,0.017022338,0.6641,0.042861288
1987,0.8182,0.017022338,0.6641,0.042861288
1988,0.8182,0.017022338,0.6641,0.042861288
1989,0.8182,0.017022338,0.6641,0.042861288
1990,0.8182,0.017022338,0.6641,0.042861288
1991,0.8182,0.017022338,0.6641,0.042861288
1992,0.8182,0.017022338,0.6641,0.042861288
1993,0.8182,0.017022338,0.6641,0.042861288
1994,0.8182,0.017022338,0.6641,0.042861288
1995,0.8182,0.017022338,0.6641,0.042861288
1996,0.8182,0.017022338,0.6641,0.042861288
1997,0.8182,0.017022338,0.6641,0.042861288
1998,0.8182,0.017022338,0.6641,0.042861288
1999,0.8182,0.017022338,0.6641,0.042861288
2000,0.8182,0.017022338,0.6641,0.042861288
2001,0.8182,0.017022338,0.6641,0.042861288
2002,0.8182,0.017022338,0.6641,0.042861288
2003,0.8182,0.017022338,0.6641,0.042861288
2004,0.8182,0.017022338,0.6641,0.042861288
2005,0.8182,0.017022338,0.6641,0.042861288
2006,0.8182,0.017022338,0.6641,0.042861288
2007,0.8182,0.017022338,0.6641,0.042861288
2008,0.8182,0.017022338,0.6641,0.042861288
2009,0.8182,0.017022338,0.6641,0.042861288
2010,0.8182,0.017022338,0.6641,0.042861288
2011,0.8182,0.017022338,0.6641,0.042861288
2012,0.8182,0.017022338,0.6641,0.042861288
2013,0.8182,0.017022338,0.6641,0.042861288
2014,0.8182,0.017022338,0.6641,0.042861288
2015,0.8182,0.017022338,0.6641,0.042861288
2016,0.822474742,0.016576457,0.684541452,0.041738585
2017,0.82565806,0.016576457,0.646114251,0.041738585
2018,0.823156881,0.016576457,0.670443899,0.041738585
2019,0.815880725,0.016576457,0.657710625,0.041738585
2020,0.813834306,0.016576457,0.654299927,0.041738585
2021,0.814516446,0.016576457,0.664532022,0.041738585
2022,0.817017625,0.016576457,0.666578441,0.041738585
2023,0.816562865,0.016576457,0.663622502,0.041738585
2024,0.815198586,0.016576457,0.664077262,0.041738585
2025,0.817699764,0.016576457,0.669079619,0.041738585
